,회사명,위치,포지션,회사소개,주요업무,자격요견,우대사항,혜택 및 복지,마감일,기술스택
0,핌아시아,"서울시 강남구 테헤란로114길 16, 3층",시니어 개발자(Tech Lead),"핌아시아는 2013년 가치를 되살리는 소비문화 정착을 목표로 설립되어,체화재고 유통의 선두주자로 자리잡은 경쟁력을 갖춘 기업입니다.핌아시아는 데이터를 기반한 글로벌 No.1 체화재고 유통 및 금융회사를 목표로 합니다.최근 5개년 매출은 4배 성장하였으며, 핌아시아가 운영하는 온라인 재고할인 플랫폼 떠리몰의 회원수는 런칭이후 19배 증가하였습니다.지속적으로 성장하고 있는 회사의 사세 확장에 따른 열정적이고 전문적인 개발자를 모집합니다.• 기술 스택 :  X-JavaScript, PHP(주언어), Java, MySQL, MariaDB","•  떠리몰 핵심 기능 개발 및 유지보수 •  떠리몰 어드민 기능 개발 및 관리 •  중장기 프로젝트 전략 수립, 개발 기획 및  일정 관리 •  내부 유관부서와의 협업 •  이슈 분석 및 해결방안 제시 •  연간 목표(KPI)수립 및 관리 •  전체 프로세스 개선 및 업무 고도화 •  팀원 성장 관리","• 총 개발 경력 10년 이상이신 분• 내부 및 현업부서와의 뛰어난 커뮤니케이션 능력을 보유한 분• 최소 2년 이상 팀 매니징 경험을 보유한 분• 개발이슈 등 다양한 문제 해결을 해보신 분• PHP, Java 등 1개 이상의 프로그래밍 언어에 능숙하신 분• 컴퓨터 공학 전공 또는 그에 준하는 지식을 보유한 분",• 다양한 개발 언어 및 프로젝트 수행 경험이 있는 분• 대용량 트래픽 처리에 대한 경험이 있는 분• 이커머스 분야에 대한 높은 이해도와 경험이 있는 분• 좋은 개발 문화에 관심이 깊거나 도입시킨 경험이 있는 분• 팀에 필요한 신기술 도입을 검토하고 적용해본 경험이 있는 분,"1. 워라밸• 격주 4.5일 근무 : 2주마다 금요일 4시간만 근무• Refresh 휴가 : 장기근속 사원 리프레시 휴가 2주~1개월 지원• 자유로운 연차/반차 휴가 제도• 창립기념일 휴무 (4월 21일)2. 교육과 성장• 교육지원제도• 도서지원제도3. 인재추천제도 : 우수인재 추천 시 지원금 최대 200만원 지원4. 직원 복지 제도• 조식DAY : 매주 월요일, 수요일 / 격주 금요일 아침식사 지원• 생일축하해 제도 : 1시간 조기퇴근 및 선물 지원• 명절선물 : 설, 추석 명절선물 지원• 경조사 지원 : 각종 경조사 휴가 및 경조비 지원• 웰컴키트 지급 : 신규입사자 친환경 웰컴키트 지급• 카페테리아 운영 : 커피 및 회의 간식 무한 제공• 자율복장 근무",상시,HTMLJavaScriptPHP
1,에이로직,동작구 상도로 360 5층,[백엔드] Java Spring boot 개발자,"에이로직에서 백엔드 개발자분을 모집합니다.저희 에이로직은 현대모비스 개발자 출신 2명이 설립한 기업으로 현재 자체 서비스와 협업 기업들과 공동 프로젝트를 진행하고 있습니다.현재 자체 서비스 리뉴얼과 협업 기업들과 신규 서비스 런칭을 위해 기획과 개발을 진해중에 있습니다. 저희와 서비스를 함께 만들어가며 새로운 도전을 해보고 싶으신 분을 찾고 있습니다 !자유로운 회사 분위기와 다양한 도전의 기회가 있는 에이로직에 지원해주세요![개발 스택]- JAVA, Spring, Spring boot, gradle, JPA, Mybatis, MySQL-＞ 타 언어 및 프레임워크 제안 가능","• JAVA, Spring boot, gradle, JPA, Mybatis, MySQL 등을 활용한 백엔드 개발• AWS 서버 관리","• JAVA Spring Boot 프로젝트 개발 경험이 있으신 분• 데이터베이스에 대한 전반적인 이해와 운용 경험이 있으신 분• AWS/Azure 등 클라우드 환경에 배포, 운영 경험이 있으신 분• 기획자 및 디자이너와의 원활한 의사소통 및 협업이 가능하신 분• 관련 경험 4년 이상 경력이 있으신 분",• 컴퓨터전공 / 소프트웨어전공등 관련 학과 졸업• 커뮤니케이션 능력이 좋고 새로운 사람들과 잘 어울리시는 분• 서비스를 개발하는 전 과정에 주도적으로 참여하고 싶으신 분,"[장비 지급] - 데스크탑 제공[식대] - 점심 식사 및 커피 제공[연차 및 휴가] - 월차 및 자율 휴가제[근무 형태] - 유연 근무제 - AM 10:00 ~ PM 6:00[보험, 의료] - 4대 보험",2023.03.31,GitJavaAWSSpring FrameworkSpring Boot
2,애드테크이노베이션,서울시 강남구 테헤란로 504 해성 1빌딩,Accountant & Administrative officer,"AsiaPac(AdTechInnovation)는 1996년에 설립된 아시아 최고의 디지털 마케팅 대행사입니다.홍콩에 본사를 두고 있으며, 대만, 마카오, 싱가포르, 말레이시아 등 아시아에 10개 이상의 지사를 두고 있습니다.주된 사업으로는 검색 엔진 마케팅(SEM), 검색 엔진 최적화(SEO), 소셜 미디어 마케팅, 인플루언서 및 콘텐츠 마케팅, 디스플레이 광고, 비디오 마케팅 및 프로그래밍 방식 광고 사업 등 디지털마케팅 관련하여 사업 전반적인 부분을 다루고 있습니다.한국, 싱가포르, 일본 지사에 채용중이니 많은 관심 부탁드립니다.","•	Develop and maintain a filing system•	Reporting,  Accounting, Finance•	Filling of all invoices, receipts•	Ensure the office is stocked with necessary supplies and that all equipment is working and properly maintained•	In charge of company’s documents, utility bills, rent, etc•	Collect mail, sort and distribute incoming fax•	Attend to phone calls promptly and politely and redirect to relevant staff;•	Attend and receive guest at reception and arrange refreshments where necessary•	Attend to courier pickups and dispatches•	Perform other job related duties as assigned•	Fresh graduates are encourage to apply","•	Diploma or above in any disciplines.•	Candidate with 1-3 years working experience in related field.•	Good knowledge of Accounting standards and principles, including month end closing processes•	Good written and verbal English communication skills",•	Proficient in MS Office•	Excellent time management skills and ability to multi-task and prioritize work.•	Attention to detail and problem solving skills.•	Organised and Responsible•	Good communication and interpersonal skills.•	Ability to work independently and as part of a team.,• Group Insurance,2023.05.31,
3,에이지엣랩스,서울시 종로구 종로6 광화문우체국 5층,컨텐츠 디자이너,"퓨리카뮤신은 이너뷰티 시장 내 성장과 확장을 준비하고 있습니다 뉴트리코스메틱스(이너뷰티) 시장 내에서 멋진 브랜드와 성장을 함께할 동료를 찾고 있습니다. 온라인 이너뷰티(피부건강) 1위 브랜드, 퓨리카뮤신은 원료에서부터 기능성 연구, 브랜드 상품 개발 및 커머스 운영까지 수직적 통합이 되어 있는 비즈니스 모델을 바탕으로 빠른 성장을 하고 있습니다.함께 서포트하며 으쌰으쌰할 수 있는 성장의 의지가 강한 멋진 분들의 많은 지원 부탁드립니다.","주요업무• 퓨리카뮤신 브랜드 유투브 숏폼 및 릴스 영상 기획, 제작• 마케팅 퍼포먼스를 위한 SNS 피드 및 광고소재 기획, 제작서브업무• 상세페이지, 배너 등 커머스 운영에 필요한 그래픽 디자인작업(현재 카페24 솔루션 사용)","필요 경험과 역량• 2년 이상의 컨텐츠 디자인 제작 경험• 그래픽, 영상제작 관련 프로그램 사용능력 필수(포토샵, 일러스트레이터, 프리미어, Figma 등)• 촬영기획 및 스튜디오와의 협력 경험• 자사 브랜드 이미지를 이해하고 시각적으로 풀어 낼 수 있는 감도 높은 디자인 센스• 꼼꼼한 업무 능력을 갖추신 분• 적극적인 성격과 원활한 커뮤니케이션이 가능하신 분전형절차• 서류전형 : 자유형식의 이력서, 포트폴리오 필수• 1차 면접 : 회사소개를 포함한 1차 인터뷰 (1차 면접 통과 시, 과제제시)• 2차 면접 : 과제물에 기반한 인터뷰 진행 사전질문 3가지• 일할 회사를 선택하는 기준이 무엇이며, 왜 우리 회사를 선택하셨나요?• 지원하는 이유와 이 포지션에 적합하다고 생각하시는 이유는 어떻게 되실까요?• 지원 분야 관련하여 본인이 만든 가장 큰 성과를 알려주세요.","• 본인이 직접 프로젝트를 만들고 주도적으로 진행하는 것을 좋아하는 분• 브랜딩기반 에이전시 또는 이너뷰티 미디어 커머스 경력• 코스메틱이나 F&B, 이너뷰티 브랜드에서의 디자인 경험이 있으신 분• 트렌드에 민감하고 SNS특성상 작업 대응이 빠르신 분• 스타트업에서 디자이너의 롤을 수행해 보신 분• 감도 높은 모션 그래픽 작업 가능하신 분","혜택 및 복지• 근로기준법 준수 연차 제공• 시간 단위 연차 사용• 생일 반차 및 선물 제공• 명절 선물 지급• 자사 출시 제품 무료 제공• 자사 제품 직원가 할인 제공• 4대 보험 적용 (국민연금, 고용보험, 산재보험, 건강보험)• 퇴직금 연봉 외 별도 지급• 보조 모니터 및 업무에 필요한 장비 최신 사양으로 제공• 자율 복장• 청년내일채움공제• 업무 관련 교육비 지원휴가정책• 근로기준법에 기반한 연차 제공(자율적인 연차사용!)• 생일 반차• 출산휴가• 경조휴가(결혼,조의)• 가족돌봄휴가• 보상휴가• 리프레시 휴가(3년 근속)",상시,Slack브랜딩Adobe PhotoshopAdobe IllustratorAdobe PremiereFigmaNotion
4,볼드나인,강남구 선릉로 112길 65 (PAX BLDG) 2층,back-end 개발자,"eCommerce 세상에 스마트한 물류 플랫폼을 제공하는 볼드나인(BOLD9) 입니다! 볼드나인은 이커머스 데이터 연동 범위 확대 및 완성도를 높이고 상품의 특성에 맞는 자동화 시스템 적용을 통해 물류 효율을 향상하는 것에 목표를 두고 있습니다.  Cloud 기반 eCommerce Fulfilment 시스템을 개발 하고 있습니다.  사용자 친화적인 UI/UX와 최적화된 성능의 서버 개발을 진행하고 있습니다.함께 개발 문화를 즐겁게 만들며,성장할 back-end 개발자 분을 찾고 있습니다!Node 기반 서비스 로직을 Graphql Query로 구현하고 성능을 최적화 하는 업무를 담당하게 되십니다.","• Node 기반의 GraphQL 서버개발• 온라인마켓, 택배사 등 제3자 API 연동",• 1년 이상 node.js 서버 개발 경력• 웹서비스 전반에 대한 이해• Node 기반의 Server 개발에 대한 이해● 채용 전형- 이력서 접수 -＞ 사전 과제 진행 -＞ 온사이트 면접 -＞ 최종 합격,•Typescript에 대한 이해도가 높으신 분•Node Performance 에 대해 고민해 보신 분•Docker 사용 경험•Google Cloud Platform 사용경험•Github / Github Action 등 CI/CD에 대한 이해•Database & SQL 사용경험•서비스/제품을 구현 하는 과정을 즐기며 협업 하시는 분,"• 개인 장비     30"" 모니터, 맥북 프로 16"", 듀얼 모니터, 27"" 4K 모니터, 맥북 프로 13""• 자기 계발    스터디 모임 지원•식사, 간식    스타벅스급 고급진 커피제공, 간식제공, 중식 제공•연차, 휴가    자유로운 연차 사용(한도 내), 자율 휴가제•근무 형태    Flex 두시간, 유연근무제 (8시 ~ 9시 출근, 17시 ~ 18시 퇴근), 유연 근무•보험, 의료    4대 보험, 경조사비",2023.03.10,
5,비핸즈,경기도 파주시 광인사길 9-7 비핸즈 사옥 3층 (파주출판단지),디자인 팀원 (시각/그래픽/편집),"`바른손카드`의 더 큰 이름 B*Hands. 1970년 4월 1일 창립 이래, 지난 50여 년 동안 대한민국 카드시장을 대표해 온 `비핸즈`는 대한민국 최고를 넘어 글로벌 최고를 지향하는 바른손카드의 더 큰 이름으로서 아름다운 생활문화를 창조하는 기업입니다.","• 대기업 중심의 VIP전용 디자인-캘린더, 다이어리 디자인-기업카드, 패키지, 홍보물 디자인.-기업 웰컴 키트(굿즈 포함) 디자인.","ㆍ학력: 학력무관 (디자인 전공자)ㆍ경력: 3년 이상 (해당 경력에 한함)ㆍ사용 툴: Adobe 일러스트&포토샵, 인디자인ㆍ★직군 분야: 웹 & 모바일, 영상관련 전문가는 해당사항 없음.","ㆍ팬시 디자인 및 캘린더&다이어리류 경력 디자이너.ㆍ지류 관련 인쇄&후가공, 패키지 지기 구조 등    디자인과 연결된 생산 프로세스 유 경험 디자이너.ㆍ시각디자인 전공자. (또는 관련학과 전공자) ㆍ인근 거주자.","-연금&보험: 국민연금, 고용보험, 산재보험, 건강보험-휴무/휴가/행사: 주5일 근무, 연차, 반차, 노동절 휴무, 워크샵/MT, 체육대회, 야유회-보상/수당지원: 퇴직금, 각종 경조금 지원, 명절 귀향비 지급, 주차비 지원(주차 가능), 야간교통비 지급-기타: 통근버스 운행, 건강 검진 등",2023.02.17,
6,엔터플,서울시 영등포구 여의대로 14 KT 여의도빌딩 17층,인프라 엔지니어,"엔터플은 글로벌 게임사의 서버 개발자, 핀테크 기업의 서버 개발자, 금융 전문가들이 모여 설립한 Serverless 전문 기술 스타트업입니다.엔터플은 변화하는 클라우드 환경에서 기업들이 Back-end에 대한 걱정 없이 비즈니스에 집중할 수 있게 도와주는 쉽고 합리적인 솔루션을 제공하자는 목표 아래 ‘SyncTree’를 만들게 되었습니다.엔터플의 대표 상품은 SyncTree로써, 코딩 없이 모듈화된 다양한 기능 블록을 ‘Drag & Drop’’으로 결합하여 Business Logic 생성부터 서비스의 Microservice 구현 그리고 API의 생성, 관리, 테스트, 배포, DevOps까지의 모든 작업을 한 개의 툴에서 할 수 있는 ‘No Code API Solution'입니다.SyncTree는 개발 언어 및 환경에 상관없이 모든 환경을 지원하고 있어 계정만 생성하면 사용자가 원하는 공간에서 웹으로 로그인해서 SaaS처럼 바로 작업을 시작할 수 있습니다.우리는 기업들이 Back-end에 소비되는 시간과 비용을 줄여주고, 비즈니스 및 부가가치 창출에 집중할 수 있도록 도움을 주는 것이 목표이며, 누구라도 비즈니스에 대한 아이디어만 있으면 온라인상에서 Back-end 걱정 없이 쉽게 구현할 수 있도록 최신 기술을 쉽고 저렴하게 제공하는 것이 바로 우리의 미션입니다.","• Kubernetes를 이용하여 서비스 구축 운영 및 관리 (EKS, AKS, On premise)• 전반적인 인프라를 클라우드(AWS, Azure)로 구축하고 운영 및 비용/성능 최적화• IaC를 이용한 인프라 자동화 구축 및 운영 (Ansible, Terraform)",• 실무 6년 ~ 10년 사이 또는 그에 준하는 실력을 갖추신 분• Kubernetes 및 Docker를 이용한 서비스 구축/운영 경험을 보유하신분• 클라우드 서비스를 활용한 시스템 구축/운영 경험을 보유하신분• Linux 기반 OS에 대한 이해도 및 사용 경험이 있으신 분,"• 컨테이너(Docker or Kubernetes) 서비스에 대한 경험 및 이해가 높으신 분• IaC(Terraform, Ansible) or 스크립트를 인프라 구축에 관심이 많으신 분• 오픈소스를 이용한 신기술 도입에 관심이 많으신 분","엔터플은 임직원의 Work & Life balance를 소중하게 생각합니다.[엔터플의 조직문화 및 복지]• 엔터플러의 자유롭고 건강한 의견교환을 위해 수평적 조직구조를 추구합니다.• 매월 전사 '올핸즈미팅'을 통해 비전과 미션을 공유합니다. (with 비어&스낵) • 해외지사 및 글로벌 기업으로의 도약으로 영어이름을 사용합니다.• 엔터플러는 하루 6시간 근무로 짧고 굵게 일합니다.• 매년 정기적인 종합건강검진으로 엔터플러의 건강을 지킵니다.• 최신형 장비 및 27인치 듀얼모니터 지급으로 최적한 업무환경을 조성합니다.• 본인, 직계가족, 배우자 및 배우자가족까지 폭넓은 경조사를 지원합니다.• 쉴 수 있는 넉넉한 카페테리아와 프라이버시를 위한 폰부스를 자유롭게 사용합니다.• 자기계발 및 여가생활을 위한 복지포인트 제도를 지원합니다.• 팀빌딩을 위한 회식비를 지원합니다.• 사내 스낵바 및 다양한 음료 & 고퀄의 원두 커피머신을 마음껏 이용합니다.• 장기근속하는 엔터플러를 위한 장기근속 휴가 및 휴가비를 제공합니다.• 자녀의 입학/졸업을 위해 특별휴가 및 선물을 제공합니다.• 본인 및 직계가족의 생일에는 특별반차 및 선물을 제공합니다.• 출산전후휴가, 육아휴직, 임신/육아기 단축근무제도를 운영합니다.• 외근자에게는 개인경비 및 교통카드를 제공합니다.• 즐거운 명절에는 명절 선물이 제공됩니다.",2023.03.31,
7,텔레픽스,"영등포구 국제금융로8길 2, 18층",(2년이상) NLP(자연어처리) 인공지능 개발자,"텔레픽스의 AI연구팀은 텍스트, 이미지 등 다양한 형태의 데이터를 활용해 가치 있는 정보를 만들어 내는 곳으로, 뉴스와 소셜 미디어 텍스트 분석을 위해 NLP 전문가를 모시고자 합니다.","• 주요업무 : AI사업팀 주임~선임연구원급   ① 뉴스 및 SNS 텍스트에서 정보 추출 기능 개발   ② Entity, Relation, Event 추출   ③ 기타 자연어 관련 기능 개발• 전형절차 : 서류평가  코딩테스트  대면면접  최종합격","• 관련 학과 학사 졸업 이상이신 분 (졸업 예정자 포함)• 관련 분야 경력 2년 이상이신 분 (석사 과정 기간 포함)• Python 프로그래밍 우수 역량 보유하신 분• 자연어처리 또는 그래프 알고리즘 중 1~2개 이상 분야에 능숙하신 분    - NLP : 감성 분석, NER 태깅, 기계 번역 등    - 그래프 알고리즘 : 소셜 그래프, 지식 그래프 등• 한글 자연어 처리 경력을 보유하신","• Tensorflow, Pytorch 경험 있으신 분• 자동화 배포 및 운영 경험이 있으신 분• 버전 관리(git) 및 협업 역량을 보유하신 분• 기술 트렌드에 민감하며 배움에 적극적인 성향을 가지신 분• 알고리즘이나 예측 진단 모델에 대한 이해와 역량을 보유하신 분• 지식 그래프 설계 및 구축 경력을 보유하신 분•  Neo4j, SparQL, Stardog 등 그래프 데이터베이스에 익숙하신 분","• 급여 : 면접 후 결정 (경력/능력에 따라 업계 최고 대우 보장)• 복지 : 업계 최고의 동료             세미나, 학회 참여 지원             중식/간식 제공             최고 성능 장비(PC/모니터) 제공             하계휴가 별도 제공             연말휴가(겨울방학) 별도 제공             자유로운 연월차 사용, 수평적 조직문화• 기타 : 전문연구요원(석사졸 이상) 신규편입 및 전직 가능 (병역지정업체)",2023.02.28,GitPytorchTensorflowPython기계 학습 (Machine Learning)NLPFPGA예측 모델링알고리즘 개발AltiumORCADPADS
8,드림인사이트,"서울시 구로구 디지털로33길 12, 14층 (구로동, 우림이비지센터2차)",Vue 프론트엔드 개발자 (3년 이상),"드림인사이트는 CREATIVE, AD TECH를 기반으로브랜드캠페인, 퍼포먼스마케팅 및 디지털콘텐츠 제작, 플랫폼 개발·운영까지ONE STOP 통합마케팅으로 진행하는 Digital Creative IMC Group입니다.드림인사이트가 앞으로 만들어갈 새로운 영역은크리에이티브+드림인사이트만의 애드테크를 접목시킨 ‘크리테크’로 가장 진화 된 형태의애드테크 솔루션입니다.드림인사이트는 새로운 크리에이티브 퍼포먼스를 만드는 크리테크 영역의 선도자로서 디지털과 크리에이티브, 그리고 새로운 솔루션으로 통합화한 최초의 리딩컴퍼니가 될 것입니다.","• Vue(v2.x)/Vue(v3.x) 기반 프론트엔드 개발• 광고 플랫폼, 자사 서비스 성능 개선 및 고도화","• 학력 : 무관• 전공 : 무관• 경력 : 3년 이상• 3년 이상 Vue(v2.x)/Vue(v3.x)기반 개발 경력• RESTful API 기반 서비스 설계 및 개발 경험이 있으신 분• AWS 클라우드 환경에서의 배포, 운영 경험이 있으신 분• Git, Git-flow에 대한 이해 및 소스코드 관리 경험이 있으신 분• Typescript 경험이 있으신 분• 퍼블리싱 스킬을 보유하신 분 (HTML, CSS, Javascript, Jquery 등)• 코드 리뷰 및 동료 성장에 관심이 많이 있으신 분• 기술 중심이 아닌 유저 중심적인 태도를 가지고 계신 분",• 직무 능력 향상을 위한 도서비 지원• 인재 추천 시 포상금 지원 (사내인재추천제도)• 사내 카페테리아 (매주 간식 및 음료 구매)• 매월 1회 4시 30분 조기 퇴근• 생일자 조기퇴근• 우수 사원 포상• 장기 근속자 포상• 경조 지원[채용조건]ㆍ정규직 (수습3개월 급여 100%지급)ㆍ채용절차 : 서류통과 -＞ 1차 면접(실무) -＞ 2차 면접(임원) -＞ 합격통보[근무환경]ㆍ근무시간: 주5일 (09:30~18:30) / 점심시간 : 12:30~13:30ㆍ근무지: 서울특별시 구로구 디지털로33길 12 우림이비지센터 14층,GitVueJSCSSHTMLJavaScriptTypeScriptAWS,상시,
9,디비디랩,서울 성동구 성수일로 48 ,백엔드 엔지니어,"안녕하세요. 데이터 기반 UX 연구소 디비디랩입니다!디비디랩은UX 리서치 원스탑 솔루션(RaaS, Research As a Service) Diby와 피드백 보상 플랫폼 우쥬테스트를 운영중인 IT 서비스 기업입니다!우리는 UX 리서치 시장을 혁신하고 있어요! Diby는 UX 리서치에서 힘들었던 모든 것을 원스탑으로 해결해주는 RaaS(Research As a Service)입니다.런칭 3개월만에 당근마켓, 핀다, NHN 등 유니콘 스타트업, 대기업을 고객으로 유치하였고 호평을 받고있습니다.이렇게 빠르게 성장할 수 있었던 이유는 Diby가 어렵고 비싸고 오래걸리기만 했던 유저 리서치를 친근하고 저렴한데다가 빠르게 수행 할 수 있도록 UX 리서치 시장을 혁신하고 있기 때문입니다.우쥬테스트는 고객이 제품을 사용한 후 피드백을 제공하고 보상을 받아가는 피드백 보상 서비스입니다.Diby에서 진행하는 대부분의 리서치에 대한 응답 수집이 우쥬테스트를 통해서 이루어지고 있습니다.현재 약 3만명에 달하는 회원이 평균 10분당 5,000원 이상의 높은 보상을 받아가는 서비스를 제공하여 모든 회원이 책임감을 가지고 성실한 응답을 하는 등 높은 서비스 충성도를 자랑합니다.우리는 빠르게 성장하고있어요. - 2022.06 Diby(베타) 런칭- 2022.03 중기부 TIPS 최종 선정- 2021.12 Pre-A 투자유치- 2021.01 온라인 서비스의 사용성테스트 방법 및 시스템 특허 등록- 2020.12 우쥬테스트 런칭- 2019.12 Seed 투자 유치아래 조건에 따른 채용을 진행하고 있어요. 고용 형태-정규직 (경력 유무에 따라 수습기간 1~3개월 적용)근무 시간-주 5일 (월~금), 주 40시간 근무제-시차 출퇴근제 운영 (9~11시 선택 출근)채용은 이런 순서로 진행됩니다.1) 서류 전형- 이력서, 포트폴리오 제출2) 실무 면접- 경우에 따라 사전과제가 안내 될 수 있습니다.- 현업 실무진과 함께 직무 역량과 적합성에 대한 면접을 진행합니다. - 대면/비대면 진행을 선택하실 수 있습니다.3) 컬쳐핏 면접- 임원진과 함께 컬쳐핏에 대한 면접을 진행합니다.- 대면/비대면 진행을 선택하실 수 있습니다.4) 최종 합격 안내- 결과 안내는 일주일 이내로 합격/불합격 모두 연락드립니다.","• Diby와 우쥬테스트의 프론트엔드 개발 및 유지보수를 담당합니다.• Diby와 우쥬테스트 고객이 서비스를 이용하며 겪는 문제를 코드를 통해 해결합니다.• 팀원들과 함께 위클리 스크럼을 통해 코드 리뷰, 회고를 진행하여 기술 생산성에 기여합니다.• 제품을 빠른 주기로 개발/배포/개선하는 애자일 스크럼 프레임워크의 스프린터로써 제품 개발에 참여합니다.• 애자일 프로세스 특성상 제품 기획/개선 과정을 직무 상관없이 다 같이 진행하며 제품에 대한 의견을 자유롭게 개진함으로써, 서비스 퀄리티 향상에 기여합니다.","• 3년 이상의 백엔드 개발 경력 및 운영 또는 그에 준하는 경험이 있으셔야 합니다.**동종 업계 경력만 인정합니다.• Java, Python 중 한 가지 언어 이상 익숙하셔야 합니다.• RESTful API 개발 경험이 있어야 합니다.• RDBMS에 대한 경험 및 이해에 대해 가지고 있으셔야 합니다.• 기획문서에 만족하는 개발이 아니라 비즈니스에 대한 이해를 가지고 개발을 하셔야 합니다.• 컨테이너 환경에 대한 이해가 있어야 합니다.• 클라우드 환경(AWS)에 서비스 배포, 운영을 하고 있기 때문에 관련하여 무리 없이 온 보딩이 가능해야 합니다.• 안정적인 서비스 개발을 지향하셔야 합니다.","• 새로운 기술을 학습하는데 거부감이 없는 분이라면 좋습니다.• 도메인 주도 개발, 클린 아키텍처 등 확장 가능한 설계를 지향하시는 분이라면 좋습니다.• NoSQL에 대한 이해 및 경험이 있으시면 좋습니다.• Gitlab을 사용한 형상 관리를 하고 있습니다. Gitlab CI/CD에 대한 이해가 있으시면 좋습니다.• IaC(Terrafom)을 이용하여 클라우드 환경(AWS)을 구성 해 본 경험이 있으시면 좋습니다.• 개발 시 UX를 고려하여 기획 이상의 결과물을 뽑아낸다는 라는 마인드를 가지고 계신다면 사랑합니다.• 적극적으로 서비스 개선에 필요한 업무를 찾고 개선할 수 있는 인성과 역량을 갖추시면 안놔드립니다.","• 병역특례 지원 가능합니다.(*현역, 보충역 모두 가능)• 오전 9시부터 11시까지 시차 출퇴근제로 유동적인 출근이 가능해요.• 월 8회 원격 근무를 지원해요.• 연/반차 자유롭게 사용해요.• 뚝섬역 5분 거리의 역세권이에요.• 애자일 스크럼을 도입하여, 효율적인 업무 문화를 만들고 있어요.• 업무용 최신 장비와 듀얼 모니터를 지원해요.• 업무하다가 당떨어지면 큰일! 스낵과 음료를 제공해요.• 업무에 관련된 서적은 언제든 무제한으로 구입할 수 있도록 지원해요.• 컨퍼런스, 세미나 등 참여하실 수 있도록 지원해요.",상시,GitLabJavaPythonAWS
